-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1984 through 12/31/2020 
Location: Latitude  35.0309   Longitude 24.8335 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MIN,T2M_MAX,T2M,ALLSKY_SFC_SW_DWN
1984,1,1,0.21,10.26,13.94,11.71,2.72
1984,1,2,0.03,9.34,14.93,12.09,2.88
1984,1,3,0.15,11.53,13.95,12.58,2.51
1984,1,4,0.11,11.26,14.25,12.82,2.07
1984,1,5,0.23,12.3,14.05,13.15,2.15
1984,1,6,10.65,12.91,14.75,13.73,0.52
1984,1,7,0.63,11.32,13.33,12.34,2.01
1984,1,8,0.71,10.75,14.19,12.11,2.08
1984,1,9,0.08,10.05,14.54,12.19,3.06
1984,1,10,0.0,10.68,15.55,12.85,3.04
1984,1,11,0.0,10.66,15.0,12.46,3.09
1984,1,12,11.02,10.32,14.26,12.18,1.23
1984,1,13,5.65,10.29,12.37,11.08,1.43
1984,1,14,3.04,9.57,11.94,10.65,2.31
1984,1,15,0.1,9.35,14.19,11.59,2.49
1984,1,16,0.1,10.95,16.34,13.23,2.74
1984,1,17,5.14,7.91,11.19,9.33,2.45
1984,1,18,0.0,7.48,13.44,10.27,3.34
1984,1,19,0.0,11.0,14.17,12.46,2.54
1984,1,20,0.01,11.03,15.02,12.74,2.81
1984,1,21,0.03,11.76,15.19,13.24,2.5
1984,1,22,0.01,10.94,14.34,12.52,3.09
1984,1,23,0.08,10.98,14.19,12.26,2.13
1984,1,24,4.39,11.06,14.44,12.82,1.37
1984,1,25,8.14,10.35,13.72,12.11,1.92
1984,1,26,0.68,7.6,10.28,9.12,2.73
1984,1,27,0.0,7.13,10.98,8.76,2.97
1984,1,28,0.0,7.42,12.12,9.6,2.1
1984,1,29,0.0,8.44,14.14,11.0,1.6
1984,1,30,0.0,9.76,13.05,11.48,1.91
1984,1,31,0.01,10.93,14.37,12.4,2.85
1984,2,1,0.0,10.65,15.03,12.68,3.65
1984,2,2,5.76,12.25,14.2,13.27,1.61
1984,2,3,2.78,10.38,14.25,12.69,1.97
1984,2,4,0.11,10.94,15.9,13.23,3.17
1984,2,5,3.27,11.41,14.05,12.76,2.58
1984,2,6,33.78,10.46,13.03,12.2,1.02
1984,2,7,10.51,9.74,11.65,10.58,2.19
1984,2,8,6.79,10.38,14.45,12.63,1.41
1984,2,9,0.92,11.65,14.44,13.22,2.07
1984,2,10,2.02,11.12,13.76,12.21,2.77
1984,2,11,1.43,9.55,11.9,10.5,3.01
1984,2,12,2.09,8.9,11.01,10.06,2.89
1984,2,13,9.08,8.23,10.1,9.26,2.14
1984,2,14,5.32,8.73,10.79,9.72,2.58
1984,2,15,0.62,8.72,13.33,10.87,2.77
1984,2,16,1.52,9.74,12.93,11.26,2.84
1984,2,17,3.36,10.94,14.4,12.44,3.52
1984,2,18,0.21,9.07,13.01,10.99,3.77
1984,2,19,2.11,9.29,10.76,9.92,2.14
1984,2,20,0.01,8.56,13.28,10.73,4.23
1984,2,21,0.0,9.22,13.91,11.5,4.49
1984,2,22,0.0,9.48,15.55,12.6,4.7
1984,2,23,0.0,10.62,16.4,13.4,4.87
1984,2,24,0.0,10.81,15.24,12.92,4.98
1984,2,25,0.0,9.8,15.06,12.14,4.2
1984,2,26,0.0,10.12,14.86,12.12,2.94
1984,2,27,0.0,10.22,15.12,12.44,4.46
1984,2,28,0.01,10.9,15.6,12.94,3.15
1984,2,29,0.01,11.6,17.62,13.89,4.37
1984,3,1,0.12,11.9,15.87,14.04,4.64
1984,3,2,0.25,12.71,15.68,14.15,4.02
1984,3,3,0.45,11.08,14.91,12.86,4.66
1984,3,4,0.08,11.35,14.48,12.78,4.6
1984,3,5,0.42,11.56,15.19,13.09,2.1
1984,3,6,6.75,9.61,12.05,10.91,3.26
